,label,SVM-CV-0,SVM-CV-1,SVM-TFIDF-0,SVM-TFIDF-1,SVM-W2V-0,SVM-W2V-1,SVM-GLOVE-0,SVM-GLOVE-1,SVM-FAST-0,SVM-FAST-1,LR-CV-0,LR-CV-1,LR-TFIDF-0,LR-TFIDF-1,LR-GLOVE-0,LR-GLOVE-1,LR-W2V-0,LR-W2V-1,LR-FAST-0,LR-FAST-1,RF-CV-0,RF-CV-1,RF-TFIDF-0,RF-TFIDF-1,RF-GLOVE-0,RF-GLOVE-1,RF-W2V-0,RF-W2V-1,RF-FAST-0,RF-FAST-1,NB-CV-0,NB-CV-1,NB-TFIDF-0,NB-TFIDF-1,NB-GLOVE-0,NB-GLOVE-1,NB-W2V-0,NB-W2V-1,NB-FAST-0,NB-FAST-1,MLP-CV-0,MLP-CV-1,MLP-TFIDF-0,MLP-TFIDF-1,MLP-GLOVE-0,MLP-GLOVE-1,MLP-W2V-0,MLP-W2V-1,MLP-FAST-0,MLP-FAST-1,EXTRA-CV-0,EXTRA-CV-1,EXTRA-TFIDF-0,EXTRA-TFIDF-1,EXTRA-GLOVE-0,EXTRA-GLOVE-1,EXTRA-W2V-0,EXTRA-W2V-1,EXTRA-FAST-0,EXTRA-FAST-1,KNN-CV-0,KNN-CV-1,KNN-TFIDF-0,KNN-TFIDF-1,KNN-GLOVE-0,KNN-GLOVE-1,KNN-W2V-0,KNN-W2V-1,KNN-FAST-0,KNN-FAST-1,CNN-CV-0,CNN-CV-1,CNN-TF-0,CNN-TF-1,CNN-W2V-0,CNN-W2V-1,CNN-GLOVE-0,CNN-GLOVE-1,CNN-FAST-0,CNN-FAST-1
0,1,0.45070043500963186,0.549299564990368,0.46595613040469597,0.5340438695953041,0.4698360625695004,0.5301639374304995,0.46176808401537156,0.5382319159846286,0.4072317282680833,0.5927682717319166,0.2047915742654126,0.7952084257345874,0.3937994700903231,0.6062005299096769,0.4273374873383522,0.5726625126616478,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,0.25,0.75,0.2,0.8,0.24,0.76,0.24,0.76,0.18666666666666668,0.8133333333333332,0.001799160838185746,0.9982008391617849,0.24463837111895853,0.7553616288810385,0.4561589217756999,0.5438410782243001,0.12581680376922363,0.8741831962307721,0.044954109443165566,0.9550458905568293,0.0,1.0,0.12425326299959683,0.8757467370004032,0.45228338,0.5477166,0.3901825,0.6098175,0.24959832,0.7504017,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.2,0.8,0.6,0.4,0.2,0.8,0.2,0.8,0.45837384,0.53485143,0.49042836,0.50527185,0.39791903,0.57453096,0.63583875,0.5411695,0.4264117,0.5972746
1,1,0.4698675523832352,0.5301324476167649,0.48327442913914787,0.516725570860852,0.5217891752289253,0.47821082477107474,0.48071200274509485,0.5192879972549054,0.4289595343360093,0.5710404656639905,0.0018916464803856448,0.9981083535196144,0.4505223585468422,0.5494776414531578,0.4393421235704956,0.5606578764295044,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,0.15,0.85,0.06,0.94,0.06,0.94,0.1,0.9,0.1,0.9,4.1901813499730785e-44,1.0,0.12306613000759523,0.8769338699924046,0.42293744011659035,0.5770625598834099,0.0779301582276948,0.9220698417723076,0.19820888324445396,0.8017911167555457,0.0,1.0,0.04575555664827258,0.9542444433517274,0.39608538,0.6039146,0.25047636,0.74952364,0.38829595,0.61170405,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4,0.6,0.2,0.8,0.4,0.6,0.2,0.8,0.43282026,0.5605774,0.45011896,0.5428331,0.39054877,0.59746957,0.56829035,0.5814455,0.4710661,0.5560488
2,0,0.4361630946653978,0.5638369053346022,0.4010444431531844,0.5989555568468158,0.3970892241524013,0.6029107758475987,0.4505636192211617,0.5494363807788383,0.5152373638310656,0.48476263616893445,0.9760502206487668,0.023949779351233245,0.5256990219739632,0.47430097802603677,0.4587928555763653,0.5412071444236347,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,0.85,0.15,0.7733333333333334,0.22666666666666666,0.76,0.24,0.78,0.22,0.78,0.22,0.9998169248343278,0.0001830751656535264,0.7621157381023026,0.23788426189769582,0.430816808371548,0.5691831916284519,0.9473508436338893,0.05264915636611091,0.9950003749520567,0.004999625047947205,1.0,2.0658963056112097e-62,0.9559523580862627,0.04404764191373736,0.48627192,0.5137281,0.7199483,0.28005168,0.66842294,0.33157703,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.2,0.8,0.2,0.4,0.6,0.4,0.6,0.49212533,0.5021453,0.51097286,0.48575348,0.6292807,0.39168808,0.62483275,0.52882886,0.6047442,0.43129072
3,0,0.4314244242819332,0.5685755757180668,0.39607022024591926,0.6039297797540806,0.41437118744822526,0.5856288125517748,0.4544726142410308,0.5455273857589691,0.4587034151680961,0.5412965848319038,0.9369047810425171,0.06309521895748295,0.4667215703518107,0.5332784296481893,0.44882089587318574,0.5511791041268143,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,0.75,0.25,0.86,0.14,0.78,0.22,0.76,0.24,0.74,0.26,1.0,2.9627261214411477e-24,0.8783135731888972,0.12168642681110754,0.3357518880441445,0.6642481119558553,0.4458238228146745,0.5541761771853316,0.5014539055575353,0.4985460944424622,1.0,1.5534705957753914e-151,0.9890335709536596,0.010966429046340334,0.43955547,0.56044453,0.7682865,0.23171347,0.48632574,0.51367426,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.4,0.6,0.4,0.8,0.2,0.4665666,0.52660865,0.4892846,0.50520504,0.6531144,0.3315739,0.61694336,0.5798177,0.5502145,0.4867916
4,1,0.4507001923337639,0.5492998076662362,0.46730792793893566,0.5326920720610643,0.4321287050871354,0.5678712949128647,0.4480443145476215,0.5519556854523785,0.46442120841104667,0.5355787915889535,0.14696886945430454,0.8530311305456955,0.44261176617758247,0.5573882338224175,0.4443048279647105,0.5556951720352895,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,0.2,0.8,0.128,0.872,0.26,0.74,0.16,0.84,0.08,0.92,0.0006130045049630925,0.9993869954950626,0.2453455449176057,0.7546544550823928,0.43153314274433974,0.5684668572556602,0.29988682636756847,0.700113173632426,0.61967951365354,0.3803204863464636,8.15002754173122e-08,0.9999999184997246,0.08739435138857077,0.9126056486114292,0.41840148,0.5815985,0.5504497,0.44955027,0.5277759,0.47222412,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.4,0.6,0.0,1.0,0.2,0.8,0.4,0.6,0.46814257,0.5255978,0.4775081,0.51697695,0.40889984,0.53326786,0.58066183,0.50576967,0.48178792,0.5449801
5,1,0.4507006813850202,0.5492993186149797,0.4516232282366904,0.5483767717633097,0.4065418309584544,0.5934581690415456,0.44555608222622195,0.5544439177737779,0.443425087186325,0.556574912813675,0.33533327407344715,0.6646667259265528,0.3600459773096083,0.6399540226903917,0.4718859226218515,0.5281140773781485,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,0.3,0.7,0.2,0.8,0.22,0.78,0.22,0.78,0.09333333333333334,0.9066666666666667,0.690206592904281,0.30979340709571224,0.36805671716040567,0.6319432828395932,0.49301634214999274,0.5069836578500073,0.9137136140535147,0.08628638594649207,0.1391111351833791,0.8608888648166174,7.038813976123492e-14,0.9999999999999296,0.18908963132961787,0.8109103686703821,0.5034511,0.49654886,0.7391044,0.2608956,0.43483204,0.56516796,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.2,0.8,0.4,0.6,0.0,1.0,0.2,0.8,0.47581843,0.51788414,0.49010056,0.50557774,0.54076,0.4634195,0.58439523,0.51750606,0.5447578,0.49001107
6,0,0.44237673050606036,0.5576232694939397,0.4010344841113426,0.5989655158886574,0.39160254472174455,0.6083974552782554,0.4250588766062421,0.5749411233937577,0.49315128325605845,0.5068487167439416,0.8403310139256707,0.1596689860743293,0.49677365471368895,0.503226345286311,0.4512973615058805,0.5487026384941195,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,1.0,0.0,0.88,0.12,0.84,0.16,0.9,0.1,0.88,0.12,0.9957245645124732,0.004275435487554771,0.6083649955092852,0.39163500449071464,0.45312604889558605,0.5468739511044141,0.7921555857665866,0.207844414233412,0.538148950639831,0.46185104936016913,1.0,6.318713710185592e-58,0.8840186078191485,0.11598139218085143,0.5155879,0.48441204,0.7609951,0.2390049,0.52770305,0.47229695,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.2,0.6,0.4,0.6,0.4,0.4,0.6,0.48612645,0.5083131,0.5040775,0.49256423,0.593442,0.43738577,0.6244241,0.4869161,0.5400189,0.50763077
7,1,0.45069990988515474,0.5493000901148454,0.47467855238185297,0.525321447618147,0.4920023282907632,0.5079976717092368,0.45272714997123487,0.547272850028765,0.4246992160206227,0.5753007839793775,0.15644729475080743,0.8435527052491926,0.40965080902497375,0.5903491909750263,0.446648515781521,0.553351484218479,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,0.05,0.95,0.16,0.84,0.15333333333333332,0.8466666666666666,0.12,0.88,0.18,0.82,1.186229357946793e-10,0.9999999998814246,0.19809983292256647,0.801900167077432,0.41932866747640374,0.5806713325235963,0.18371221621358638,0.8162877837864202,0.09318029268943771,0.9068197073105622,0.0,1.0,0.06539169405702505,0.934608305942975,0.43834847,0.5616515,0.37195837,0.6280416,0.32794243,0.67205757,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.4,0.6,0.6,0.4,0.2,0.8,0.4,0.6,0.459941,0.53443176,0.47170192,0.5227303,0.4958762,0.48308626,0.630634,0.54958117,0.4554707,0.565102
8,1,0.45070018973504394,0.5492998102649561,0.42343184082004004,0.57656815917996,0.482020165595976,0.5179798344040242,0.4373126441037554,0.5626873558962446,0.46006820882975386,0.5399317911702461,0.3024856979494226,0.6975143020505774,0.4505223585468422,0.5494776414531578,0.47130261162170983,0.5286973883782902,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,0.2,0.8,0.3,0.7,0.24,0.76,0.22,0.78,0.2,0.8,0.9923562430096072,0.007643756990446472,0.502544488290939,0.4974555117090625,0.5088540655559581,0.4911459344440416,0.23803066916097132,0.761969330839035,0.2729185950584901,0.7270814049415089,0.0,1.0,0.40966772716283006,0.5903322728371699,0.46732444,0.53267556,0.43676537,0.5632346,0.4393643,0.5606357,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.8,0.2,0.2,0.8,0.4,0.6,0.2,0.8,0.4691393,0.52483815,0.49459428,0.50193864,0.4948532,0.49516296,0.6049666,0.56849176,0.51040566,0.5143462
9,1,0.45070104658101157,0.5492989534189885,0.4746831931155906,0.5253168068844094,0.43859596934564665,0.5614040306543533,0.4311263128643039,0.5688736871356962,0.4305012173509412,0.5694987826490586,0.1176239272955133,0.8823760727044867,0.4505223585468422,0.5494776414531578,0.45535834619503424,0.5446416538049658,0.44941638555071384,0.5505836144492862,0.44941634516258944,0.5505836548374106,0.25,0.75,0.22,0.78,0.26,0.74,0.28,0.72,0.18,0.82,1.4090607066786941e-05,0.9999859093929012,0.2515508389631485,0.7484491610368498,0.4615046881511207,0.5384953118488796,0.12466715040552452,0.8753328495944721,0.30256471141606706,0.6974352885839388,0.0,1.0,0.03920437163144863,0.9607956283685514,0.4839064,0.5160936,0.62833905,0.37166098,0.43071747,0.56928253,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.2,0.8,0.6,0.4,0.4,0.6,0.4,0.6,0.46610814,0.5275512,0.48759857,0.50748867,0.5739352,0.3975335,0.61198574,0.59369195,0.5191841,0.5072454
